label,AUROC,AUPRC
NORMAL,0.9333455562591553,0.8715046048164368
PNEUMONIA,0.8586204051971436,0.7338740825653076
COVID19,0.9419142007827759,0.5605733394622803
TUBERCULOSIS,,
OPACITY,0.7015893459320068,0.23954513669013977
EFFUSION,0.9368076324462891,0.20887237787246704
INFILTRATION,0.9122542142868042,0.167924165725708
ATELECTASIS,0.9198601245880127,0.10797543078660965
CARDIOMEGALY,0.8720374703407288,0.025128763169050217
NODULE,0.8621936440467834,0.07357287406921387
MASS,0.8766188621520996,0.05319877341389656
PLEURAL_THICKENING,0.8903990983963013,0.04217489808797836
EMPHYSEMA,0.8463168144226074,0.014174798503518105
PNEUMOTHORAX,0.8988998532295227,0.05624159425497055
FIBROSIS,0.7038553953170776,0.01193049643188715
HERNIA,0.5,0.00044169611646793783
